row_id	module	suite	class	method	mutator	status	label	line	member_status	declarations	bodies_shown	paragraph_chars	swapped_mutator	word_real	word_swapped	identifiers_missing
glam-sdk-java/services#services#BatchSqlExecutorImpl.run#ConditionalsBoundaryMutator#SURVIVED#130	glam-sdk-java/services	services	systems.glam.services.db.sql.BatchSqlExecutorImpl	run	ConditionalsBoundaryMutator	SURVIVED	accepted equivalent	130	RESOLVED	1	1	186	NullReturnValsMutator	false	false	AccountFetcherImpl
glam-sdk-java/services#services#BatchSqlExecutorImpl.run#RemoveConditionalMutator_ORDER_IF#SURVIVED#115	glam-sdk-java/services	services	systems.glam.services.db.sql.BatchSqlExecutorImpl	run	RemoveConditionalMutator_ORDER_IF	SURVIVED	accepted equivalent	115	RESOLVED	1	1	186	NullReturnValsMutator	false	false	AccountFetcherImpl
glam-sdk-java/services#services#BatchSqlExecutorImpl.run#VoidMethodCallMutator#SURVIVED#116	glam-sdk-java/services	services	systems.glam.services.db.sql.BatchSqlExecutorImpl	run	VoidMethodCallMutator	SURVIVED	accepted equivalent	116	RESOLVED	1	1	186	MathMutator	false	false	AccountFetcherImpl
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#ConditionalsBoundaryMutator#SURVIVED#259	glam-sdk-java/services	services	systems.glam.services.state.GlobalConfigCacheImpl	run	ConditionalsBoundaryMutator	SURVIVED	race-guard family	259	RESOLVED	1	1	134	NullReturnValsMutator	true	true	
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#257	glam-sdk-java/services	services	systems.glam.services.state.GlobalConfigCacheImpl	run	RemoveConditionalMutator_EQUAL_ELSE	SURVIVED	race-guard family	257	RESOLVED	1	1	134	NullReturnValsMutator	true	true	
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#RemoveConditionalMutator_EQUAL_IF#SURVIVED#257	glam-sdk-java/services	services	systems.glam.services.state.GlobalConfigCacheImpl	run	RemoveConditionalMutator_EQUAL_IF	SURVIVED	race-guard family	257	RESOLVED	1	1	134	NullReturnValsMutator	true	true	
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#RemoveConditionalMutator_EQUAL_IF#SURVIVED#259	glam-sdk-java/services	services	systems.glam.services.state.GlobalConfigCacheImpl	run	RemoveConditionalMutator_EQUAL_IF	SURVIVED	race-guard family	259	RESOLVED	1	1	134	NullReturnValsMutator	true	true	
glam-sdk-java/services#services#GlobalConfigCacheImpl.run#RemoveConditionalMutator_ORDER_ELSE#SURVIVED#259	glam-sdk-java/services	services	systems.glam.services.state.GlobalConfigCacheImpl	run	RemoveConditionalMutator_ORDER_ELSE	SURVIVED	race-guard family	259	RESOLVED	1	1	134	NullReturnValsMutator	true	true	
glam-sdk-java/services#services#GlobalConfigCacheImpl.topPriorityForMintChecked#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#172	glam-sdk-java/services	services	systems.glam.services.state.GlobalConfigCacheImpl	topPriorityForMintChecked	RemoveConditionalMutator_EQUAL_ELSE	SURVIVED	race-guard family	172	RESOLVED	3	2	134	NullReturnValsMutator	true	true	
glam-sdk-java/services#services#GlobalConfigCacheImpl.topPriorityForMintChecked#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#178	glam-sdk-java/services	services	systems.glam.services.state.GlobalConfigCacheImpl	topPriorityForMintChecked	RemoveConditionalMutator_EQUAL_ELSE	SURVIVED	race-guard family	178	RESOLVED	3	2	134	NullReturnValsMutator	true	true	
glam-sdk-java/services#services#GlobalConfigCacheImpl.topPriorityForMintChecked#RemoveConditionalMutator_EQUAL_IF#SURVIVED#172	glam-sdk-java/services	services	systems.glam.services.state.GlobalConfigCacheImpl	topPriorityForMintChecked	RemoveConditionalMutator_EQUAL_IF	SURVIVED	race-guard family	172	RESOLVED	3	2	134	NullReturnValsMutator	true	true	
glam-sdk-java/services#services#GlobalConfigCacheImpl.topPriorityForMintChecked#RemoveConditionalMutator_EQUAL_IF#SURVIVED#178	glam-sdk-java/services	services	systems.glam.services.state.GlobalConfigCacheImpl	topPriorityForMintChecked	RemoveConditionalMutator_EQUAL_IF	SURVIVED	race-guard family	178	RESOLVED	3	2	134	NullReturnValsMutator	true	true	
glam-sdk-java/services#services#GlobalConfigCacheImpl.topPriorityForMintChecked#VoidMethodCallMutator#SURVIVED#183	glam-sdk-java/services	services	systems.glam.services.state.GlobalConfigCacheImpl	topPriorityForMintChecked	VoidMethodCallMutator	SURVIVED	race-guard family	183	RESOLVED	3	2	134	MathMutator	false	false	
glam-sdk-java/services#services#KeyedFlatFileImpl.appendEntry#VoidMethodCallMutator#SURVIVED#43	glam-sdk-java/services	services	systems.glam.services.io.KeyedFlatFileImpl	appendEntry	VoidMethodCallMutator	SURVIVED	durability unobservable	43	RESOLVED	1	1	101	MathMutator	true	false	
glam-sdk-java/services#services#KeyedFlatFileImpl.close#RemoveConditionalMutator_EQUAL_IF#SURVIVED#126	glam-sdk-java/services	services	systems.glam.services.io.KeyedFlatFileImpl	close	RemoveConditionalMutator_EQUAL_IF	SURVIVED	durability unobservable	126	RESOLVED	1	1	101	NullReturnValsMutator	false	false	
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#ConditionalsBoundaryMutator#SURVIVED#69	glam-sdk-java/services	services	systems.glam.services.io.KeyedFlatFileImpl	deleteEntry	ConditionalsBoundaryMutator	SURVIVED	durability unobservable	69	RESOLVED	1	1	101	NullReturnValsMutator	false	false	
glam-sdk-java/services#services#KeyedFlatFileImpl.deleteEntry#NakedReceiverMutator#SURVIVED#75	glam-sdk-java/services	services	systems.glam.services.io.KeyedFlatFileImpl	deleteEntry	NakedReceiverMutator	SURVIVED	durability unobservable	75	RESOLVED	1	1	101	MathMutator	true	false	
